-443, -201
-425, 135
294, 100
-390, 87
-183, 79
-220, -82
248, -311
162, -344
47, -137
-204, -117
332, 330
308, -327
43, 246
-121, 325
299, -49
-373, 26
57, -100
192, -81
-50, -208
-416, 302
52, -23
-39, -98
278, -156
138, -141
-169, -250
418, -206
-164, 113
-419, -83
312, 192
76, 302
391, 146
-432, 197
-356, 158
-276, -269
172, -98
90, -267
328, 262
234, 203
67, -94
-371, -270
-226, -40
366, -209
123, -25
387, 256
364, -57
377, -237
117, 78
-175, -210
-171, -179
278, -270
321, -319
-223, -296
-75, 75
112, 212
-119, 295
52, 310
367, -4
-305, 242
232, 120
-167, 221
-123, 149
341, 143
22, 21
-417, 57
-240, -26
154, -59
6, 198
-198, 223
55, 26
-189, -150
-118, -148
73, -91
-421, -288
153, -246
-245, 40
297, 204
-192, -152
277, 293
160, 287
360, 13
180, 125
-21, -130
213, -324
-84, -104
-203, -295
357, -343
-134, -205
-82, -63
105, -85
201, -126
-164, 337
-57, -63
7, 244
363, -47
291, -202
332, -346
-21, 326
-34, 109
-407, 80
54, -185
